Parent Folder,Filename,Type,Public URL,Finished
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_2.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_2.mp4,
694_smart_2-MLM-female,scene_2_body.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/scene_2_body.mp3,
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_1_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_1_lipsync.mp4,Yes
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_1_nobg.png,
643_smart_2-MLC-male,scene_3_cta.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/scene_3_cta.mp3,
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_3_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_3_lipsync.mp4,Yes
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_1.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_1.mp4,
643_smart_2-MLC-male,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/scene_1_hook.mp3,
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_2.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_2.mp4,
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_3.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_3.mp4,
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_1_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_1_lipsync.mp4,Yes
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_2.png,
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_3.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_3.png,
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_1_nobg.png,
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_1.png,
643_smart_2-MLC-male,scene_2_body.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/scene_2_body.mp3,
643_smart_2-MLC-male,643_smart_2-MLC-male_scene_2_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/643_smart_2-MLC-male/643_smart_2-MLC-male_scene_2_lipsync.mp4,Yes
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_1.png,
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_2.png,
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_3.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_3.png,
34_smart_2-MLM-male,scene_3_cta.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/scene_3_cta.mp3,
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_3_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_3_lipsync.mp4,Yes
34_smart_2-MLM-male,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/scene_1_hook.mp3,
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_1_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_1_lipsync.mp4,Yes
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_1_nobg.png,
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_2.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_2.mp4,
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_3.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_3.mp4,
34_smart_2-MLM-male,scene_2_body.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/scene_2_body.mp3,
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_1.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_1.mp4,
34_smart_2-MLM-male,34_smart_2-MLM-male_scene_2_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/34_smart_2-MLM-male/34_smart_2-MLM-male_scene_2_lipsync.mp4,Yes
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_2_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_2_lipsync.mp4,Yes
38_smart_2-MLC-female,scene_3_cta.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/scene_3_cta.mp3,
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_1_nobg.png,
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_1_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_1_lipsync.mp4,Yes
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_3.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_3.png,
38_smart_2-MLC-female,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/scene_1_hook.mp3,
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_2.png,
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_1.png,
